RA,Dec,PGC#,NSAID,othername,vhelio,distance,r,i,z,I,K,K_err
177.888973511,-2.37275946983,37102,160676,PGC037102,1024.0435791,16.8706893921,16.5060569477,17.3492309284,17.3501979541,16.41,,
177.940730715,38.0149328675,37132,90271,11514581+3800537,921.512023926,17.6099834442,12.8031908718,12.579693481,12.5113302913,12.1,11.177,0.092
177.948434296,48.6832095215,37136,60315,11514762+4840592,972.102172852,18.2874469757,12.4510070224,12.1825209995,11.8279353519,11.95,9.667,0.027
177.983962779,-2.64249722178,37147,160685,UGC06838,3875.75415039,60.4745826721,15.4733551228,15.2714966023,15.0991523945,14.38,12.715,0.132
177.988619393,46.8170799282,37148,140357,CGCG_243-020_NED01,3234.00512695,46.335319519,14.8392921036,14.5263591355,14.2010417526,13.87,11.323,0.042
178.008539635,16.8096722203,37156,113756,11520204+1648348,3705.29614258,57.8455429077,13.8372989856,13.5091835223,13.2903743945,12.64,10.502,0.033
178.00793819,13.8786679018,37162,170287,PGC037162,957.961914062,17.3547172546,16.177926488,16.0064959003,15.8618807269,15.59,13.731,0.131
178.029614422,52.1080005548,37164,140359,UGC06840,1046.00158691,19.3500614166,14.7664042927,14.5755626179,14.477835796,12.74,,
178.052305109,16.8517733617,37170,140362,NGC_3934,3779.00585938,59.2623558044,13.9954958917,13.5393248559,13.2133322717,13.36,10.442,0.028
178.0743,-18.00453,37177,,ESO572-006,1737.0,,,,,17.87,13.803,0.24
178.08585,-26.90581,37178,,g1152206-265421,2013.0,,,,,11.04,9.044,0.031
178.10027019,32.4038553155,37183,87589,11522407+3224139,3066.16479492,43.6655845642,13.4079851349,13.0575861175,12.8588632782,12.6,10.086,0.03
178.101787431,23.6250672353,37184,160699,PGC037184,3452.80297852,52.4097976685,15.9025128549,15.8205502694,15.7250149911,,12.713,0.133
178.114191612,34.8943374327,37189,160700,PGC037189,2203.79907227,34.1926498413,16.5060399841,16.5282548737,16.4136689972,15.58,13.959,0.197
178.1151,-20.10384,37190,,ESO572-007,1475.0,,,,,,11.863,0.081
178.1304,-3.87218,37196,,g1152313-035220,1570.0,,,,,,11.143,0.099
178.13925,-29.12193,37200,,ESO440-023,1883.0,,,,,14.76,13.812,0.238
178.131757389,-3.67480049851,37202,3279,PGC037202,1647.65307617,25.4464702606,14.7207055696,14.6132550843,14.5286412843,,,
178.154968159,-2.46943156517,37213,3264,UGC06850,1040.40429688,17.0944728851,15.045748295,15.3714852946,15.3282418864,14.88,,
178.163169855,50.0378435688,37217,38550,UGC06849,1006.79327393,18.7772712708,14.745655307,14.5408117859,14.5415594665,14.88,,
178.17555,-39.46223,37220,,ESO320-029,3369.0,,,,,14.73,,
178.197991035,-0.668781869344,37227,1226,PGC037227,1384.80041504,22.2376689911,18.0217469664,18.3412984343,18.3544562788,17.59,,
178.205981803,44.1207569428,37229,140384,NGC_3938,809.001281738,16.0540218353,11.1243319054,10.8135427971,10.6357416649,9.52,7.801,0.019
178.230658845,36.9863176948,37235,140390,NGC_3941,928.001403809,17.678691864,10.6075986078,10.2633603265,9.98978549742,,7.309,0.01
178.24290354,61.216141143,37236,27555,UGC06858,3136.90209961,45.9247665405,14.386919738,14.1220481407,13.9792602073,13.63,11.711,0.11
178.2498,-4.42585,37238,,PGC037238,1488.0,,,,,,,
178.2636,-36.63879,37243,,g1153033-363820,2986.0,,,,,12.05,9.743,0.036
178.271181168,26.2069282699,37244,102110,11530508+2612249,3619.08813477,56.4628448486,13.2304648575,12.7134436783,12.4912432846,12.49,10.18,0.046
178.272,-18.3777,37245,,ESO572-008,1766.0,,,,,,11.772,0.106
178.275234565,6.15402974804,37251,160712,PGC037251,2533.67236328,36.3200874329,16.7699669858,16.5586537381,16.4012745877,15.81,13.066,0.172
178.299,-39.13018,37254,,g1153117-390749,3076.0,,,,,11.4,9.168,0.022
178.306648986,60.6757109675,37258,140394,NGC_3945,1259.00195312,23.2352542877,11.3325014464,10.9076929442,10.6312361113,,7.516,0.017
178.313934651,11.6342212254,37259,169814,UGC06862,2731.48754883,38.9939956665,16.2388155234,15.9457971824,15.83604262,15.43,13.538,0.236
178.3332,-49.58324,37263,,ESO217-012,3437.0,,,,,12.15,14.144,0.34
178.34265,-13.26486,37267,,IC_0743,3826.0,,,,,,11.458,0.063
178.3458,-18.16652,37270,,ESO572-009,1741.0,,,,,,,
178.35015,-28.55314,37271,,g1153241-283311,1702.0,,,,,11.55,9.574,0.047
178.34025,-38.94262,37273,,PGC037273,3123.0,,,,,14.8,12.926,0.143
178.40865,-26.99573,37280,,ESO504-024,1894.0,,,,,,,
178.42755,-15.41047,37281,,g1153426-152438,3756.0,,,,,,10.62,0.054
178.41915,-3.99634,37285,,g1153406-035948,1625.0,,,,,,11.004,0.094
178.423858602,47.8587224038,37290,160719,NGC_3949,798.001281738,15.8307247162,11.5773188955,11.3698050863,11.2271239645,10.22,8.596,0.018
178.433411648,7.79245224687,37301,67119,PGC037301,2564.79174805,36.7866973877,16.6567868999,16.6619996837,16.619070988,15.89,,
178.454164374,52.3269156027,37306,140405,NGC_3953,1052.00158691,19.4388580322,11.4858170426,11.0382290757,10.7158242142,9.02,7.036,0.017
178.45965,-27.34921,37307,,ESO504-025,1637.0,,,,,13.49,,
178.462670684,33.3650432375,37308,140406,IC2973,3213.9699707,45.6585960388,14.2520252263,14.1153579747,14.0265956914,12.94,11.734,0.081
178.489648383,25.6850791095,37312,140407,CGCG_127-101,3815.00585938,60.4165725708,14.0482250313,13.662265406,13.3017898658,13.31,10.906,0.037
178.4718,-20.64071,37313,,ESO572-011,1656.0,,,,,,,
178.48785,-20.1374,37318,,ESO572-012,1685.0,,,,,14.6,14.182,0.283
178.48815,-23.16408,37320,,g1153571-230951,1490.0,,,,,,8.726,0.022
178.496948877,12.1985886602,37323,170290,PGC037323,3001.37817383,43.2460632324,15.7805973053,15.626172638,15.5144039154,15.02,,
178.50285,-20.56726,37325,,g1154007-203402,1653.0,,,,,11.47,10.021,0.066
178.5063,-19.56871,37326,,g1154015-193408,1637.0,,,,,,8.673,0.016
178.5285,-39.86759,37334,,g1154067-395201,2889.0,,,,,11.38,7.999,0.034
178.531549946,-3.68237399166,37336,3273,PGC037336,1455.37780762,22.9354419708,16.2537551262,16.1526007988,16.0884347298,15.4,13.953,0.269
178.551147424,0.1366279039,37339,1286,IC_0745,1135.37487793,18.7601566315,13.6115321843,13.634229633,13.4955730168,13.19,10.863,0.073
178.5897,-12.47812,37348,,PGC037348,1472.0,,,,,13.21,13.256,0.143
178.604502092,-2.31960353307,37352,3297,11542504-0219104,2392.99609375,34.5627784729,14.090414531,13.8018231461,13.5810818742,13.06,10.907,0.1
178.640281298,58.3671754166,37358,160732,11543368+5822013,3316.30371094,47.8661384583,13.2317917439,12.8393356892,12.5640080067,12.36,9.791,0.028
178.6671,-13.97493,37366,,g1154401-135830,1814.0,,,,,9.53,7.651,0.019
178.686795672,20.0560479185,37367,160735,UGC06881,601.0,12.8358316422,16.1263743256,15.9641667221,15.7035828446,15.61,,
178.67985,-33.55876,37369,,ESO379-007,644.0,5.22,,,,,14.076,0.26
178.7064,-16.86418,37373,,PGC037373,1811.0,,,,,12.06,11.995,0.128
178.726855821,30.7072941739,37376,160737,PGC037376,3254.10180664,46.2051734924,16.7240553671,16.6257773215,16.4608240897,15.98,12.739,0.092
178.7268,-27.2513,37377,,ESO504-028,2028.0,,,,,12.56,11.437,0.105
178.744595979,58.4937058801,37386,160743,11545871+5829370,3186.44140625,46.4086494446,12.5105554565,12.201898764,12.0052396758,11.99,9.288,0.038
178.770510454,1.7198876521,37392,160745,PGC037392,1299.91418457,21.2087116241,15.6483909847,15.5456154109,15.4668171169,14.81,12.413,0.152
178.81065,44.15043,37401,,PGC037401,731.0,,,,,,13.453,0.114
178.8126,-78.74223,37404,,ESO020-003,2993.0,,,,,16.42,,
178.8111,-37.69631,37405,,g1155147-374147,3008.0,,,,,11.2,9.081,0.033
178.798960904,0.488515311276,37407,140437,UGC06890,3214.00488281,49.6488037109,16.4101813027,16.3501799294,16.3062346169,,,
178.829831896,33.1460604039,37412,87601,PGC037412,3229.70947266,45.8650398254,15.8070636446,15.698106354,15.6092181857,14.95,13.203,0.144
178.8108,-6.45435,37415,,PGC037415,2482.0,,,,,,,
178.847981593,54.6572811241,37418,160755,UGC06894,851.222717285,16.4438343048,15.2050612363,15.0638144407,14.9517176542,14.31,13.552,0.226
178.852933559,33.1262223261,37421,92529,11552466+3307339,3157.30981445,44.7981491089,14.8414653786,14.5576309212,14.3390335091,13.88,11.445,0.048
178.85685,-28.73602,37422,,ESO440-030,1821.0,,,,,14.09,,
178.903992021,1.23714981759,37444,1285,11553692+0114139,1885.09594727,28.5982627869,13.1494045615,12.8949356437,12.7871723533,13.18,11.234,0.153
178.880843014,63.4419289999,37445,27645,PGC037445,3052.66625977,44.9163780212,16.5135743157,16.3455845848,16.4376427666,15.92,,
178.91295,31.5188,37449,,UGC06900,590.0,16.6,,,,,13.895,0.193
178.904687411,56.2530438889,37460,52386,PGC037460,949.809020996,17.831281662,15.946231862,15.8606538973,15.8063698015,15.08,13.219,0.145
178.911807311,58.3517543912,37461,52429,PGC037461,3304.78637695,47.7272262573,15.645827971,15.3641049485,15.1578785997,14.72,12.354,0.085
178.927597689,32.1888773184,37462,87596,PGC037462,3432.87402344,50.3074684143,14.8544166647,14.6660698019,14.5286357962,14.44,11.835,0.065
178.93777649,55.3206497923,37466,41674,11554508+5519146,855.403625488,16.4874095917,12.7927304431,12.4587155505,12.2507039233,11.53,9.632,0.041
178.96095,-18.19649,37476,,g1155506-181147,1591.0,,,,,12.44,10.719,0.101
178.988641738,6.74926683182,37483,140458,NGC_3976,2497.00390625,35.9663124084,12.112865029,11.7236762626,11.3438659293,10.69,8.752,0.022
179.010357714,6.6779104295,37490,67071,PGC037490,2503.77661133,36.0425796509,15.751574299,15.5058734628,15.3654525491,14.97,,
179.031,-19.89608,37496,,NGC_3981,1723.0,,,,,10.79,8.449,0.02
179.057404744,58.1997535605,37504,140466,UGC06912,1347.0020752,24.8094768524,15.1761577198,15.1932704517,15.1845099994,15.46,14.048,0.219
